,City,Country,Cloudiness %,Humidity,Date,Max Temp (F),Wind Speed (mph),Latitude,Longitude
0,broome,US,90,93,1588284467,59,20.8,42.25,-75.83
1,maarianhamina,AX,68,75,1588284186,39.2,9.17,60.1,19.93
2,nisia floresta,BR,40,78,1588284469,80.6,5.82,-6.09,-35.21
3,togur,RU,86,83,1588284470,44.4,9.75,58.36,82.83
4,atar,MR,0,16,1588284471,85.69,12.84,20.52,-13.05
5,jamestown,US,40,67,1588284472,57.2,13.87,42.1,-79.24
6,oranjemund,NA,6,55,1588284474,63.14,7.02,-28.55,16.43
7,guangyuan,CN,47,85,1588284475,51.01,1.7,32.44,105.82
8,mataura,NZ,50,71,1588284476,52.02,3.27,-46.19,168.86
9,puri,IN,20,88,1588284477,82.4,4.7,19.8,85.85
10,kaitangata,NZ,25,63,1588284478,57,4,-46.28,169.85
11,busselton,AU,0,47,1588284479,51.01,12.26,-33.65,115.33
12,yumen,CN,0,14,1588284480,57.92,5.48,40.28,97.2
13,mayor pablo lagerenza,PY,29,56,1588284481,82.08,2.35,-19.93,-60.77
14,amderma,MX,5,18,1588284483,93.2,6.93,22.89,-109.91
15,cabo san lucas,VE,40,52,1588284484,89.6,11.41,7.77,-72.22
16,mys shmidta,PT,90,93,1588284485,63,12.75,41.72,-8.86
17,san cristobal,KI,45,82,1588284486,83.05,17.92,3.07,172.79
18,saleaula,AR,90,81,1588284487,44.6,32.21,-54.8,-68.3
19,areosa,NZ,34,74,1588284489,54.43,13.4,-46.6,168.33
20,skiros,US,1,15,1588284490,93,4.7,37.1,-113.58
21,butaritari,PH,52,84,1588284491,79.14,7.43,14.05,124.17
22,ushuaia,OM,75,89,1588284406,84.2,5.82,17.02,54.09
23,bluff,EC,20,55,1588284493,87.8,19.46,-0.74,-90.35
24,saint george,CA,97,66,1588284494,41.97,7,51.23,-58.65
25,pandan,ZA,100,87,1588284244,60.8,6.93,-33.93,18.42
26,illoqqortoormiut,US,100,86,1588284397,55.99,15.23,42.6,-73.97
27,salalah,BR,100,94,1588284498,76.14,5.26,-1.2,-46.02
28,puerto ayora,US,40,72,1588284499,61,13.87,40.6,-124.16
29,saint-augustin,CA,75,69,1588284500,37.4,12.75,62.46,-114.35
30,cape town,NC,20,78,1588284502,77,10.83,-22.28,166.46
31,albany,RU,98,76,1588284503,42.57,5.26,54.48,53.47
32,carutapera,NZ,31,67,1588284504,61,26.4,-41.41,175.52
33,fortuna,IN,68,69,1588284505,85.21,7.09,10.57,72.64
34,barentsburg,CA,75,86,1588284507,26.6,5.82,70.47,-68.59
35,yellowknife,AU,99,69,1588284508,57.43,20.6,-34.73,135.87
36,noumea,NP,99,35,1588284509,49.39,0.58,29.27,82.18
37,oktyabrskiy,ZA,54,57,1588284510,64.81,5.53,-33.02,27.91
38,karamay,BR,96,86,1588284511,78.8,8.37,-2.92,-39.92
39,waipawa,NE,38,26,1588284513,95,6.93,13.51,2.11
40,kavaratti,US,1,77,1588284514,-0.4,10.29,71.29,-156.79
41,clyde river,PF,0,73,1588284515,81.9,17.52,-9.8,-139.03
42,port lincoln,PE,100,20,1588284516,52.77,8.21,-15.64,-71.6
43,jumla,BF,59,33,1588284517,90.19,8.57,12.07,1.79
44,east london,CA,5,71,1588284519,5,11.41,69.45,-133.04
45,itarema,US,90,87,1588284485,55,8.05,41.37,-73.41
46,niamey,JP,72,84,1588284521,65.62,9.55,32.69,128.84
47,barrow,BR,22,83,1588284522,74.37,4.05,-17.71,-39.25
48,atuona,JP,20,72,1588284523,66,6.93,35.73,140.83
49,chivay,US,75,74,1588284401,78.8,21.92,22.08,-159.32
